WORD COUNT,WORD,TRANSLITERATION,TRANSLATION
15764,на,na,
15154,да,da,
14938,и,i,
7210,в,v,
7104,се,se,
6547,за,za,
5960,от,ot,
5375,е,e,
3678,че,che,
3425,с,s,
3292,си,si,
3012,ни,ni,
2862,ще,shte,
2604,не,ne,
2284,това,tova,
2264,които,koito,
2109,Христос,Hristos,
2083,Исус,Isus,
2073,са,sa,
2028,като,kato,
1474,към,kam,
1468,Той,Toy,
1451,по,po,
1344,ви,vi,
1323,Бог,Bog,
1183,Господ,Gospod,
1178,или,ili,
1136,всички,vsichki,
1069,може,mozhe,
1044,което,koeto,
1028,когато,kogato,
1014,ми,mi,
898,тези,tezi,
884,нас,nas,
864,който,koyto,
821,сме,sme,
801,В,V,
795,Църквата,Tsarkvata,
740,много,mnogo,
736,до,do,
726,живота,zhivota,
721,един,edin,
717,ние,nie,
710,този,tozi,
709,тази,tazi,
706,но,no,
697,чрез,chrez,
691,бъде,bade,
680,време,vreme,
670,а,a,
657,трябва,tryabva,
637,така,taka,
636,живот,zhivot,
634,която,koyato,
626,му,mu,
606,го,go,
599,И,I,
597,им,im,
590,вяра,vyara,
571,Отец,Otets,
567,Него,Nego,
566,има,ima,
559,Това,Tova,
558,те,te,
552,със,sas,
551,как,kak,
547,можем,mozhem,
542,всеки,vseki,
536,Когато,Kogato,
531,Спасителя,Spasitelya,
528,във,vav,
528,както,kakto,
524,той,toy,
519,ги,gi,
518,при,pri,
512,съм,sam,
498,Евангелието,Evangelieto,
498,нашите,nashite,
496,през,prez,
495,вас,vas,
475,ако,ako,
470,след,sled,
467,сте,ste,
465,повече,poveche,
459,хора,hora,
458,бъдат,badat,
450,дни,dni,
449,докато,dokato,
449,върху,varhu,
448,също,sashto,
447,тях,tyah,
446,казва,kazva,
439,нашия,nashiya,
437,завети,zaveti,
429,президент,prezident,
423,света,sveta,
422,ли,li,
409,Но,No,
406,сила,sila,
403,всичко,vsichko,
397,години,godini,
395,Нелсън,Nelsan,
390,аз,az,
386,храма,hrama,
383,Джозеф,Dzhozef,
382,защото,zashtoto,
382,любов,lyubov,
375,неща,neshta,
370,беше,beshe,
368,ден,den,
368,могат,mogat,
365,вярата,vyarata,
363,Неговото,Negovoto,
358,начин,nachin,
357,Му,Mu,
356,само,samo,
353,ме,me,
346,какво,kakvo,
346,още,oshte,
345,дори,dori,
343,други,drugi,
341,бъдем,badem,
339,няма,nyama,
338,учи,uchi,
334,радост,radost,
334,Неговата,Negovata,
331,За,Za,
331,Аз,Az,
329,другите,drugite,
328,сестри,sestri,
328,последните,poslednite,
323,Дух,Duh,
323,една,edna,
321,едно,edno,
319,Ако,Ako,
319,Като,Kato,
317,Не,Ne,
312,хората,horata,
307,все,vse,
299,Мормон,Mormon,
298,силата,silata,
293,името,imeto,
289,своите,svoite,
285,дава,dava,
285,Те,Te,
284,Неговите,Negovite,
283,преди,predi,
282,Книгата,Knigata,
280,според,spored,
280,членове,chlenove,
280,Спасителят,Spasitelyat,
277,човек,chovek,
276,вие,vie,
274,мен,men,
268,дома,doma,
266,земята,zemyata,
265,тя,tya,
265,толкова,tolkova,
264,Смит,Smit,
262,нашата,nashata,
258,винаги,vinagi,
257,имаме,imame,
256,г.,g.,
256,свят,svyat,
251,ѝ,ѝ,
250,заедно,zaedno,
250,нещо,neshto,
248,Ние,Nie,
246,него,nego,
246,амин,amin,
246,пред,pred,
244,чеда,cheda,
240,братя,bratya,
240,Спасител,Spasitel,
240,били,bili,
239,сърцата,sartsata,
239,Църква,Tsarkva,
239,1,1,
238,М.,M.,
235,помага,pomaga,
234,Писанията,Pisaniyata,
233,светиите,svetiite,
232,благословии,blagoslovii,
232,себе,sebe,
230,без,bez,
228,Ръсел,Rasel,
227,Светия,Svetiya,
227,име,ime,
226,След,Sled,
225,част,chast,
224,Да,Da,
217,сега,sega,
217,над,nad,
216,Докато,Dokato,
215,2,2,
215,път,pat,
211,някои,nyakoi,
209,днес,dnes,
209,бе,be,
209,онези,onezi,
208,Небесен,Nebesen,
206,друг,drug,
206,Тя,Tya,
206,бяха,byaha,
205,свещеничеството,sveshtenichestvoto,
204,Си,Si,
203,семейството,semeystvoto,
203,всяка,vsyaka,
202,своя,svoya,
202,усилия,usiliya,
201,семейство,semeystvo,
200,3,3,
199,я,ya,
198,би,bi,
198,място,myasto,
198,мир,mir,
197,Нефи,Nefi,
196,нашето,nasheto,
195,По,Po,
195,деца,detsa,
193,нашият,nashiyat,
192,своята,svoyata,
190,отново,otnovo,
190,имат,imat,
189,дали,dali,
189,жени,zheni,
188,никога,nikoga,
188,сърцето,sartseto,
187,Евангелие,Evangelie,
186,Който,Koyto,
186,Го,Go,
185,Президент,Prezident,
184,план,plan,
184,наистина,naistina,
184,където,kadeto,
182,цел,tsel,
181,бил,bil,
181,нито,nito,
180,децата,detsata,
179,Свидетелствам,Svidetelstvam,
178,малко,malko,
178,било,bilo,
178,бях,byah,
175,щастие,shtastie,
174,каза,kaza,
174,правим,pravim,
173,пророк,prorok,
173,През,Prez,
173,Нека,Neka,
171,Неговия,Negoviya,
170,Тези,Tezi,
170,обичаме,obichame,
169,времето,vremeto,
169,Христа,Hrista,
168,Ще,Shte,
167,моля,molya,
167,обреди,obredi,
166,често,chesto,
165,конференция,konferentsiya,
165,ти,ti,
165,дом,dom,
165,Алма,Alma,
164,помагат,pomagat,
164,бъдете,badete,
163,поради,poradi,
162,вече,veche,
162,няколко,nyakolko,
162,дело,delo,
161,живеем,zhiveem,
161,пътека,pateka,
161,4,4,
160,приятели,priyateli,
159,С,S,
158,заповеди,zapovedi,
157,светлина,svetlina,
157,обича,obicha,
157,небесата,nebesata,
156,свидетелство,svidetelstvo,
156,напред,napred,
154,Син,Sin,
154,мъже,mazhe,
154,молитва,molitva,
153,5,5,
153,просто,prosto,
152,води,vodi,
152,сърце,sartse,
152,6,6,
152,надежда,nadezhda,
152,трудности,trudnosti,
148,можете,mozhete,
146,служба,sluzhba,
145,духовно,duhovno,
145,Божия,Bozhiya,
