WORD	WORD COUNT		LEMMA	LEMMA COUNT
на	15764		на	15895
да	15154		и	15537
и	14938		да	15379
в	7210		съм	11826
се	7104		в	8011
за	6547		се	7108
от	5960		за	6878
е	5375		от	6093
че	3678		който	5096
с	3425		ние	3977
си	3292		че	3682
ни	3012		с	3584
ще	2862		ща	3148
не	2604		не	2921
това	2284		това	2843
които	2264		мога	2713
Христос	2109		като	2347
Исус	2083		вие	2238
са	2073		Христос	2109
като	2028		исус	2083
към	1474		са	2073
Той	1468		той	1992
по	1451		те	1972
ви	1344		то	1938
Бог	1323		бъда	1790
Господ	1183		по	1646
или	1178		имам	1609
всички	1136		когато	1564
може	1069		аз	1540
което	1044		към	1489
когато	1028		живот	1460
ми	1014		бог	1451
тези	898		всички	1343
нас	884		или	1213
който	864		Господ	1183
сме	821		църква	1146
В	801		но	1115
Църквата	795		друг	1112
много	740		ми	1084
до	736		теза	1068
живота	726		вяра	995
един	721		време	961
ние	717		ден	894
този	710		един	892
тази	709		нас	886
но	706		този	854
чрез	697		сила	846
бъде	691		тази	840
време	680		много	823
а	670		него	813
трябва	657		а	811
така	637		бия	806
живот	636		хора	799
която	634		чрез	794
му	626		ако	794
го	606		спасител	772
И	599		нещо	758
им	597		трябва	749
вяра	590		до	745
Отец	571		нашия	708
Него	567		така	702
има	566		след	696
Това	559		евангелие	693
те	558		както	672
със	552		тя	672
как	551		през	669
можем	547		докато	665
всеки	542		как	660
Когато	536		президент	637
Спасителя	531		всеки	629
във	528		семейство	626
както	528		наши	625
той	524		знам	610
ги	519		моля	604
при	518		уча	600
съм	512		казвам	600
Евангелието	498		своя	597
нашите	498		със	597
през	496		при	588
вас	495		помагам	578
ако	475		отец	575
след	470		година	569
сте	467		име	566
повече	465		обичам	565
хора	459		във	565
бъдат	458		храм	558
дни	450		брат	547
докато	449		свети	546
върху	449		начин	542
също	448		давам	537
тях	447		сестра	517
казва	446		любов	517
нашия	439		също	511
завети	437		член	501
президент	429		защото	492
света	423		дете	487
ли	422		дух	485
Но	409		духовен	479
сила	406		тях	472
всичко	403		последен	471
години	397		мно́го	471
Нелсън	395		какво	465
аз	390		радост	463
храма	386		кажа	463
Джозеф	383		първи	462
защото	382		път	456
любов	382		живея	454
неща	375		върху	450
беше	370		всичко	447
ден	368		някой	442
могат	368		завети	438
вярата	365		ли	422
Неговото	363		негови	422
начин	358		цял	420
Му	357		дори	420
само	356		важен	418
ме	353		негова	413
какво	346		голям	410
още	346		жена	409
дори	345		негово	408
други	343		вечен	405
бъдем	341		няма	405
няма	339		сърце	403
учи	338		една	403
радост	334		свои	401
Неговата	334		млад	399
За	331		само	398
Аз	331		нелсън	395
другите	329		разбирам	394
сестри	328		истина	392
последните	328		човек	389
Дух	323		преди	388
една	323		получа	386
едно	321		джозеф	383
Ако	319		книга	376
Като	319		син	374
Не	317		онзи	371
хората	312		свидетелствам	367
все	307		дойда	367
Мормон	299		още	357
силата	298		дело	356
името	293		правя	351
дава	285		едно	348
Те	285		стана	347
Неговите	284		земя	343
преди	283		наша	342
Книгата	282		сега	339
според	280		получавам	335
членове	280		все	333
Спасителят	280		цел	329
човек	277		небесен	328
вие	276		свят	317
мен	274		план	315
дома	268		добър	315
земята	266		искам	315
тя	265		мъж	310
толкова	265		негов	305
своите	264		мормон	305
Смит	264		било	304
нашата	262		виждам	302
винаги	258		дом	300
имаме	257		дума	299
г.	256		малко	298
свят	256		въпрос	297
ѝ	251		сам	295
заедно	250		според	294
нещо	250		нов	293
Ние	248		продължавам	293
него	246		толкова	290
амин	246		заповед	289
пред	246		г.	287
чеда	244		момент	286
братя	240		променя	286
Спасител	240		без	284
били	240		желая	284
сърцата	239		заедно	282
Църква	239		винаги	282
1	239		следвам	281
М.	238		спасителят	280
помага	235		усилие	279
Писанията	234		чувствам	279
светиите	233		нека	279
благословии	232		светлина	277
себе	232		слово	276
без	230		добро	271
Ръсел	228		дома	269
Светия	227		днес	268
име	227		дам	267
След	226		душа	266
част	225		същи	266
Да	224		смия	264
сега	217		мои	260
над	217		видя	259
Докато	216		приятел	257
2	215		светия	256
път	215		желание	255
някои	211		отговор	253
днес	209		ръка	252
бе	209		амин	252
онези	209		учение	251
Небесен	208		пример	251
друг	206		ѝ	251
Тя	206		започна	249
бяха	206		сърцат	248
свещеничеството	205		част	247
Си	204		място	246
семейството	203		пред	246
всяка	203		мир	246
своя	202		светиите	245
усилия	202		вода	245
семейство	201		права	245
3	200		чеда	244
я	199		наше	243
би	198		въпреки	240
място	198		себе	240
мир	198		принцип	239
Нефи	197		1	239
нашето	196		м.	238
По	195		личен	238
деца	195		пи́ша	238
нашият	193		трудност	236
своята	192		ти	233
отново	190		единение	233
имат	190		никога	232
дали	189		благословии	232
жени	189		скъп	231
никога	188		история	231
сърцето	188		мой	231
Евангелие	187		всяка	230
Който	186		ръководител	229
Го	186		ръсел	228
Президент	185		търся	228
план	184		страна	227
наистина	184		грях	227
където	184		благославям	225
цел	182		обещание	224
бил	181		свое	221
нито	181		възможност	221
децата	180		велик	221
Свидетелствам	179		народ	220
малко	178		наистина	219
било	178		над	219
бях	178		поради	217
щастие	175		мисля	217
каза	174		2	215
правим	174		дали	213
пророк	173		ставам	213
През	173		молитва	213
Нека	173		свещеничеството	213
Неговия	171		изпълня	212
Тези	170		стремя	211
обичаме	170		апостол	210
времето	169		баща	210
Христа	169		направя	210
Ще	168		науча	208
моля	167		конференция	207
обреди	167		щастие	207
често	166		служа	206
конференция	165		пътека	206
ти	165		често	204
дом	165		глас	203
Алма	165		спазвам	203
помагат	164		върша	203
бъдете	164		вярвам	203
поради	163		надежда	203
вече	162		тогава	202
няколко	162		отново	200
дело	162		3	200
живеем	161		родител	199
пътека	161		свещен	199
4	161		подобен	198
приятели	160		нефи	197
С	159		такъв	194
заповеди	158		майка	193
светлина	157		основа	193
обича	157		младеж	192
небесата	157		нито	192
свидетелство	156		изпитвам	192
напред	156		където	191
Син	154		втори	191
мъже	154		учене	189
молитва	154		небе	189
5	153		служба	188
просто	153		две	188
води	152		помощ	187
сърце	152		жертва	186
6	152		истински	186
надежда	152		следен	186
трудности	152		работа	186
можете	148		съвършен	185
служба	146		говоря	183
духовно	145		ето	183
Божия	145		старейшина	178
Всички	145		възстановяване	178
Както	144		вече	177
Този	144		пророк	175
означава	144		различен	174
своето	143		няколко	173
А	141		означавам	173
момент	140		тъй	173
Въпреки	140		кой	172
сред	140		остана	172
пример	139		общ	171
7	139		просто	170
народ	138		ученик	169
помощ	138		свидетелство	169
прави	138		христа	169
майка	138		откровение	168
ръководители	138		защо	168
брат	138		верен	167
откровение	137		обреди	167
думи	136		собствен	166
нея	136		жив	166
там	136		покана	165
дойде	136		алма	165
целия	136		нужда	164
получаваме	135		позволявам	164
пътя	134		мисия	162
истина	134		взема	162
следваме	133		разбера	161
От	133		колко	161
знае	132		4	161
10	132		послание	160
Тази	131		сред	160
На	131		понякога	158
история	130		край	158
стремим	129		изпитам	158
знаем	128		покаяние	158
Учение	128		там	158
колко	126		силен	157
баща	126		страдание	157
жертва	125		напред	156
8	125		ум	155
11	125		по-късно	155
тогава	125		чудо	155
Своя	125		влияние	154
Може	124		очаквам	154
Единението	124		5	153
относно	123		6	152
9	123		приема	151
лично	123		моя	151
страна	123		нямам	150
ставаме	123		покажа	150
имате	123		чуя	149
Възстановяването	123		намирам	149
между	122		съпруга	149
Вие	122		избирам	149
била	121		какъв	148
Сега	121		закон	148
духовни	121		действам	148
истината	121		използвам	148
въпроси	121		точно	146
защо	121		случвам	145
значение	120		смърт	145
Божиите	120		божия	145
промени	120		спасение	144
Отца	120		започвам	144
Израил	120		обещавам	144
Какво	119		способност	144
Небесния	119		нужен	143
мисия	119		даден	142
Божии	119		значение	142
нещата	119		споделя	142
любовта	118		отговорност	141
сестра	118		благословя	141
Бога	117		гледам	141
Ето	117		нуждая	141
Божията	116		7	139
заветната	116		действие	138
всяко	116		затова	137
две	115		нея	136
работа	115		дар	136
Един	115		воля	133
благословиите	114		искрен	132
добро	114		дъщеря	132
тъй	114		свързан	132
края	113		10	132
по-късно	112		мое	132
вечен	112		чета	131
година	111		небесния	131
цялото	110		попитам	131
12	110		постоянен	130
добре	110		слава	130
Можем	110		власт	130
Защото	110		избор	129
старейшина	110		благодаря	129
говори	110		относно	128
Как	109		необходим	128
учим	109		добре	127
апостоли	109		между	127
желае	109		говор	126
14	109		промяна	125
голяма	108		8	125
точно	108		11	125
ученици	108		лично	125
покажат	108		ваши	125
нужда	108		все́ки	125
вашата	108		духам	124
спазваме	107		болка	124
пророци	107		обич	124
Братя	107		район	124
семейства	107		9	123
храм	107		начало	122
желание	106		ида	122
15	106		основен	122
13	106		познавам	121
нека	106		напътствие	121
сметка	105		божиите	120
Преди	105		отца	120
вашите	105		израил	120
Моля	105		ваша	120
радостта	105		помогна	120
служим	104		ела	119
членовете	104		идвам	119
мъж	104		заветната	119
Своите	103		обстоятелство	119
свидетелствам	103		благословиите	119
даде	103		око	119
млади	103		божии	119
техните	103		президентство	119
цялата	103		техни	118
промяна	102		божествен	117
идва	102		царство	117
знам	102		преживявам	116
мисионери	102		божията	116
става	102		направа	116
Мои	101		приемам	115
добри	101		достоен	115
у	101		изключителен	115
жена	101		човешки	114
то	100		ваш	113
принципи	100		нищо	112
въпреки	100		вървя	112
вж	100		причина	111
Единение	99		подобно	111
16	99		12	110
Първото	99		отношение	110
глас	99		отида	110
молим	98		ангел	110
сключените	98		избера	109
Ме	98		14	109
Духа	97		общество	109
учения	97		събитие	109
служение	97		грижа	108
Чрез	97		пророци	108
обич	96		чувам	108
светии	96		резултат	108
светлината	96		тук	108
преживявания	96		вместо	108
помагаме	96		опитвам	108
президентство	96		обещая	108
скъпи	95		изучаване	107
напълно	95		вж	107
направи	95		сметка	106
словата	95		прекрасен	106
мога	95		15	106
нищо	94		внимание	106
Мен	94		пророкът	106
около	94		13	106
тук	94		намеря	106
Божие	94		освен	105
духовна	93		независим	105
истини	93		включвам	105
отговор	93		свобода	105
различни	93		служим	104
член	93		подготвя	104
послание	93		мисионери	104
покаяние	93		изисквам	104
разбиране	93		кана	104
земния	93		връзка	104
понякога	92		знание	103
началото	92		седмица	103
Трябва	92		става	103
такива	92		месец	103
отношение	92		възстановя	102
смъртта	92		пророка	102
моята	92		противник	102
благодарност	92		обърна	101
въпрос	91		у	101
20	91		краен	101
кани	91		възможно	101
Господа	91		чувство	101
благославя	90		напълно	100
споделя	90		около	100
завет	90		слушам	99
младежи	90		отнасям	99
родители	90		открия	99
свързани	89		сключените	99
възможно	89		16	99
греховете	89		посещавам	98
плана	89		обаче	98
заветите	88		светии	98
дойдат	88		урок	98
наши	88		вид	97
причастието	88		физически	97
Затова	88		служител	97
благословия	88		служение	97
Някои	88		роля	97
включително	87		трудно	96
Всеки	87		участвам	96
особено	87		преживяване	96
спасение	87		нося	95
жените	87		заветите	95
ученията	86		същност	95
важни	86		чист	95
Божий	85		подготовка	95
верни	85		събиране	95
свидетелства	85		висш	94
заявява	85		близка	94
делото	85		семеен	94
сили	85		дърво	94
Божието	85		мене	94
някой	84		божие	94
Моисей	84		брак	94
думите	84		последовател	93
моменти	84		земния	93
правят	84		заявявам	92
18	84		завет	92
обещание	84		епископ	92
трудно	84		благодарност	92
отговори	83		три	91
Много	83		училище	91
святото	83		20	91
училище	83		какъвто	91
слава	83		господ	91
17	83		случа	90
изпитания	83		особено	90
младежите	82		благословия	90
начини	82		вечност	90
възможност	82		труден	90
Сатана	82		причастието	89
против	82		добре́	88
способността	82		помня	88
случва	81		върна	88
крайна	81		дванадесет	88
служи	81		почти	88
достойни	81		ключ	88
ръка	81		кворума	88
Мене	81		включително	87
страни	81		никой	87
вижда	81		единствен	87
Една	80		Божи	87
същия	80		продължа	86
чувства	79		пътуване	86
обстоятелства	79		плод	86
три	79		наричам	86
получи	79		ясно	86
отколкото	79		божий	85
събрания	79		например	85
времена	79		каня	85
власт	79		доведа	85
вид	78		два	85
познава	78		моисей	84
изучаване	78		святото	84
Своята	78		готов	84
вършим	78		18	84
Петър	78		под	83
животът	78		17	83
избираме	78		сатана	82
сами	78		против	82
Тогава	77		бъдеще	82
търсим	77		тяло	82
почти	77		спра	81
продължава	77		место	81
служат	76		надявам	81
места	76		врата	81
чувстваме	76		щат	81
трудностите	76		благодат	80
сигурност	76		сигурност	80
вечността	76		славен	80
иска	76		състояние	79
църква	76		изпратя	79
душата	76		отколкото	79
влияние	76		събрания	79
моя	76		ходя	79
Небесният	75		случай	78
бяхме	75		вляза	78
важно	75		големя	78
Дори	75		колкото	78
покана	75		Петър	78
ръцете	75		благодарение	78
покайваме	75		малък	78
започва	75		наскоро	77
земя	74		щастлив	77
отговорност	74		увереност	77
Скъпи	74		ваше	77
състояние	74		покайваме	77
Нашият	74		смирен	77
дете	74		тяхна	77
бъда	74		сигурен	77
Господната	74		спомням	76
изисква	74		чакам	76
стане	74		страдам	76
правите	74		опит	76
ясно	74		всъщност	75
млад	74		мнозина	75
под	73		пиша	75
желанието	73		ред	75
вечна	73		чийто	75
семействата	73		взаимоотношение	74
Изкупител	73		водя	74
идват	73		господната	74
по-добри	73		прост	74
служители	73		група	74
основа	73		предложен	74
изключително	73		възстановеното	74
Негови	72		храна	74
по-подобни	72		изкупител	73
последователи	72		следващ	73
Господния	72		съвет	73
живеят	72		трябвам	73
Има	72		поколение	73
душите	72		дълбок	72
неделя	72		господния	72
дар	72		лице	72
Неговият	71		отговарям	72
мои	71		достатъчно	72
независимо	71		кол	72
чедата	71		неделя	72
дела	71		техен	71
вашето	71		пълен	71
Павел	70		проявявам	71
начина	70		твърде	71
същност	70		чедата	71
Ми	70		срещу	71
При	70		вечер	71
друго	70		дълбоко	71
достатъчно	70		култура	71
включва	70		павел	70
Своето	70		кръстен	70
срещу	70		къде	70
дванадесетте	70		реша	70
м	70		присъствие	70
два	70		следвайте	70
Светият	70		м	70
вместо	70		спася	70
учение	69		земен	70
син	69		красив	70
твърде	69		макар	70
А.	69		показвам	69
страдания	69		скоро	69
грехове	69		средство	69
жив	69		а.	69
словото	69		смел	69
Старейшина	68		трети	69
живее	68		насърчавам	68
19	68		процес	68
принцип	68		19	68
Ти	68		огромен	68
Мороний	68		мороний	68
преживяване	68		някога	68
младите	68		двама	67
благословени	67		световен	67
елате	67		посетя	67
вашия	67		любящ	67
любящ	67		израз	67
съпругата	67		завеса	67
ума	67		извърша	67
станем	67		обредите	67
двете	67		работя	67
виждаме	67		социален	67
дълбоко	67		стъпка	67
избор	67		йоан	66
нови	66		събрание	66
Йоан	66		четири	66
влиянието	66		задача	66
моли	66		помисля	66
ето	66		призова	66
воля	66		оставя	66
Понякога	66		хиляда	66
резултат	66		стоя	66
волята	66		откровения	65
събирането	66		почитам	65
изпълнени	66		програма	65
връзка	66		мисионерите	65
малки	66		превърна	65
Няма	66		обяснявам	65
учат	65		учител	64
заповедите	65		напиша	64
искрено	65		вероятно	64
Така	65		спомня	64
приятел	65		църковен	64
свещени	65		стар	64
ред	65		увеличавам	64
променя	65		сутрин	64
родителите	64		възлюбен	64
разбира	64		свидетел	63
действия	64		специален	63
внимание	64		глава	63
същото	64		проблема	63
следното	64		носител	63
храмове	64		продължение	63
синове	64		възкресението	63
противника	64		завинаги	62
Младите	64		напомня	62
вечно	64		р.	62
пророка	64		страх	62
взаимоотношения	63		милост	62
Също	63		смелост	61
То	63		решение	61
друга	63		предлагам	61
лични	63		почувствам	61
откровения	63		изучавам	61
божествена	63		синът	60
големи	63		решене	60
дават	63		съществувам	60
възможности	63		цар	60
завесата	63		мъдрост	60
неговата	63		ясен	60
съпруга	63		по-малко	60
продължение	63		погледна	60
по-добре	62		накрая	60
Следвайте	62		21	60
спазват	62		изглежда	60
Обаче	62		клон	60
Първо	62		здрав	60
роля	62		усещам	60
подобно	62		допълнителен	59
Р.	62		създам	59
милост	62		веднага	59
завинаги	61		език	59
близки	61		описвам	59
къде	61		представя	59
Пророкът	61		качество	59
примера	61		зная	58
домовете	61		подкрепа	58
всичките	61		утеха	58
месеца	61		чувствате	58
помогне	61		радвам	58
някога	61		събера	58
брак	61		видение	58
храна	61		поставя	57
обещания	61		праведност	57
свобода	61		намерение	57
гласа	60		зло	57
носи	60		единствено	57
намираме	60		отдаденост	57
усилията	60		тъкмо	57
голямо	60		държа	57
21	60		подготвен	57
основата	60		агнец	56
възможността	60		скръб	56
историята	60		обръщам	56
души	59		вземам	56
важна	59		дара	56
момента	59		възраст	56
пътуване	59		учен	56
стана	59		Ваш	56
Днес	59		умра	56
Тъй	59		единство	56
Моята	59		източник	56
следните	59		точка	56
вечер	59		пророците	56
Духът	59		вдъхновен	55
обещава	59		стих	55
трудни	59		център	55
грижи	58		сключа	55
неговите	58		божествено	55
моите	58		господен	55
Знам	58		доверие	55
разбираме	58		милион	55
очите	58		споделяме	55
подготвя	58		л.	55
молитви	58		бивам	55
стават	58		пришествие	55
мисионерите	58		изцеление	55
човешки	58		минал	54
Кворума	58		дейност	54
тяхната	58		ежедневен	54
моето	58		тежък	54
възстановеното	58		отвъд	54
видение	58		превръщам	54
мнозина	57		забравя	54
праведност	57		надделявам	54
дъщеря	57		определен	53
утеха	57		лесно	53
увереност	57		съвременен	53
царство	57		известен	53
Предложено	57		отделен	53
обредите	57		някакъв	53
отдаденост	57		повечето	53
дъщери	57		постигна	53
позволява	57		спомена	53
сърца	56		организация	53
подготовка	56		подкрепим	53
Освен	56		наш	53
хиляди	56		представа	53
щати	56		кръст	53
онзи	55		сграда	53
Господен	55		22	53
чувствате	55		23	53
епископ	55		религиозен	53
района	55		напредвам	53
Л.	55		сион	53
общата	55		мъртъв	53
дух	55		съществен	53
продължаваме	55		радваме	52
следва	55		бива	52
получим	55		състрадание	52
слова	55		споделям	52
биват	55		променям	52
обяснява	55		бързо	52
пришествие	55		тъмнина	52
спасението	54		степен	52
приемат	54		о	52
ръце	54		напредък	52
пъти	54		смисъл	52
седмица	54		съпруг	52
дара	54		век	52
