WORD	WORD COUNT		LEMMA	LEMMA COUNT
the	20763		the	22597
and	14130		and	14745
of	13497		of	13565
to	12173		be	13019
in	7137		to	12351
that	5547		in	8037
a	5358		we	8027
I	4443		that	6672
we	4429		a	6360
is	4016		I	4443
our	3946		he	4267
for	3124		our	4228
you	2948		have	4179
with	2832		for	3410
be	2567		his	3410
are	2474		you	3390
as	2439		as	3151
us	2375		with	2984
Christ	2274		this	2921
will	2270		they	2452
God	2147		will	2428
have	2130		it	2383
s	2073		christ	2274
Jesus	2069		god	2150
His	2013		s	2073
not	2006		Jesus	2069
was	1982		not	2038
The	1834		my	1918
He	1750		all	1833
this	1715		do	1745
all	1710		lord	1611
it	1639		can	1609
Lord	1608		on	1605
can	1574		who	1512
my	1562		by	1458
on	1528		from	1422
who	1487		your	1413
his	1397		love	1376
by	1384		or	1365
from	1379		their	1297
or	1333		when	1293
your	1332		but	1205
he	1286		church	1199
We	1220		know	1098
their	1211		come	1072
they	1174		savior	1043
Church	1043		what	1023
Savior	1043		one	1010
do	993		me	982
love	955		time	912
has	944		father	909
me	928		other	886
had	906		at	885
In	900		faith	873
them	899		say	867
when	860		more	866
more	841		life	849
life	836		so	813
faith	834		family	806
were	825		make	803
but	802		live	800
one	784		covenant	788
what	781		if	784
at	779		temple	774
would	753		would	773
an	748		teach	757
those	744		gospel	754
It	744		child	754
Father	722		help	732
gospel	721		see	731
As	712		may	727
so	692		good	696
about	691		about	695
Him	683		through	683
know	683		president	678
time	670		how	677
her	667		her	667
been	657		day	658
may	654		great	652
which	630		there	650
come	619		thing	638
family	619		heart	636
And	615		which	634
children	613		world	631
world	608		become	630
through	607		man	609
help	577		each	605
President	573		power	601
unto	570		way	600
these	569		need	599
things	562		shall	596
temple	558		work	588
power	558		receive	579
shall	550		unto	570
him	548		many	570
people	541		people	560
each	538		year	557
said	534		name	549
how	518		she	542
upon	516		prophet	540
if	516		even	536
many	492		brother	535
name	492		upon	522
also	490		young	521
This	481		word	520
way	473		because	513
day	470		learn	508
see	461		sister	500
there	460		also	500
other	455		holy	499
even	450		member	494
lives	441		give	486
work	440		heavenly	473
great	437		like	472
When	433		first	469
into	431		blessing	468
Joseph	422		experience	460
like	412		home	459
become	407		promise	452
no	406		son	451
than	404		into	431
But	403		some	430
spiritual	402		take	427
Nelson	400		Joseph	422
others	399		then	420
taught	397		spiritual	410
years	391		every	407
Heavenly	390		no	406
because	387		now	405
she	380		woman	405
young	380		call	404
need	377		than	404
covenants	375		only	401
members	371		Nelson	400
could	370		keep	399
every	367		change	395
make	365		priesthood	387
t	365		spirit	384
did	362		bless	383
feel	357		joy	381
My	356		could	381
joy	354		feel	380
They	354		go	370
good	352		after	369
heart	351		t	368
up	348		pray	360
only	343		follow	359
home	342		saint	355
should	333		just	351
out	333		book	350
You	331		let	350
words	330		truth	349
sisters	329		up	349
blessings	327		seek	347
receive	325		eternal	343
own	323		understand	343
then	321		should	341
some	320		before	340
before	318		old	335
priesthood	318		invite	334
eternal	314		out	333
Mormon	313		bring	325
Holy	312		own	325
am	307		plan	323
Saints	301		new	322
man	296		most	317
where	294		want	316
just	294		where	316
made	292		light	314
now	290		Mormon	314
most	290		prepare	313
men	287		any	312
ye	286		ye	311
For	286		hear	310
first	285		place	303
Book	284		testify	302
Our	282		speak	302
plan	282		serve	302
sacred	282		look	301
hearts	282		hope	301
any	278		sacre	298
prophet	275		remember	291
live	275		doctrine	288
light	275		share	281
covenant	272		being	281
If	268		friend	279
That	264		missionary	274
after	263		scripture	272
M.	258		today	270
path	258		path	268
always	255		begin	267
Smith	255		desire	266
keep	254		prayer	266
testify	251		over	265
over	249		ask	264
personal	248		always	260
Ghost	247		M.	258
learn	246		commandment	257
new	242		lead	257
never	242		personal	257
What	242		during	257
being	242		never	256
give	241		while	255
experience	241		ordinance	255
hope	240		smith	255
amen	239		two	254
earth	237		choose	253
living	237		example	251
very	236		peace	249
times	233		ghost	248
serve	233		living	248
find	233		amen	248
Latter-day	232		such	245
Russell	232		continue	244
same	232		find	243
peace	232		question	242
pray	231		true	242
must	230		part	240
A	230		its	239
go	228		earth	238
Son	228		very	238
true	228		divine	235
follow	227		restore	235
might	226		mind	234
truth	226		must	233
women	226		hand	233
two	225		tell	233
change	225		sin	233
its	224		Latter-day	232
today	223		Russell	232
came	221		same	232
take	220		another	229
felt	220		might	229
seek	218		much	227
important	218		revelation	225
part	218		dear	224
such	217		little	222
remember	217		heaven	221
ordinances	217		felt	220
asked	216		principle	219
little	216		important	219
divine	212		aske	216
much	212		witness	215
commandments	210		effort	215
another	207		conference	214
place	207		trust	214
scriptures	206		atonement	213
Atonement	206		soul	211
example	204		believe	209
1	204		study	206
Spirit	203		return	204
brothers	201		increase	204
Nephi	199		gift	204
ourselves	198		1	204
restored	198		stand	204
conference	196		together	203
received	196		last	203
let	195		well	203
away	194		both	203
promise	191		provide	203
both	190		Nephi	199
There	190		challenge	199
during	188		ourselves	198
called	187		apostle	197
together	186		please	197
blessed	186		without	196
2	184		walk	196
First	184		general	195
dear	183		away	194
revelation	183		get	194
given	183		meet	193
days	182		parent	192
prayer	181		again	190
again	179		read	190
mind	179		youth	190
faithful	178		suffer	190
To	178		voice	188
say	177		disciple	188
hear	176		leader	188
teach	175		late	188
want	175		open	187
friends	175		mother	187
does	174		second	187
3	172		purpose	186
often	171		given	185
word	171		2	184
Elder	170		often	184
Alma	170		repent	184
well	169		faithful	183
families	169		long	183
without	169		mission	182
One	168		answer	181
back	167		thought	179
holy	165		face	179
choose	165		sacrifice	178
perfect	164		back	178
better	164		yet	178
happiness	163		use	178
bless	163		perfect	176
service	163		individual	175
desire	162		service	175
She	162		minister	173
forward	162		3	172
ask	162		small	172
ago	162		thou	170
youth	160		try	170
How	159		focus	170
believe	159		alma	170
parents	158		restoration	169
understand	158		act	168
voice	157		strengthen	168
share	157		house	166
loving	157		happiness	165
last	157		forward	165
These	156		still	165
small	156		feeling	164
bring	155		message	164
witness	155		beloved	163
too	155		why	163
still	155		testimony	162
house	155		ago	162
thy	153		offer	162
invite	153		right	160
With	152		too	160
down	152		build	160
doctrine	150		quorum	160
father	150		strength	159
ever	150		turn	159
knew	149		ever	158
purpose	148		mortal	157
learned	148		person	154
while	148		thy	153
disciples	148		here	152
missionaries	147		mean	152
spirit	147		following	152
sacrifice	146		grow	152
promised	146		down	152
mother	146		end	151
church	146		heal	151
read	144		think	151
prophets	144		found	149
repent	144		pass	148
return	144		law	148
thou	143		sustain	147
leaders	143		repentance	147
speak	142		hold	147
son	142		opportunity	146
year	142		few	143
mortal	141		coming	143
4	141		allow	143
mission	141		inspire	141
right	140		influence	141
saw	140		4	141
sins	140		miracle	141
strength	139		guide	140
told	139		require	139
gift	139		something	139
call	138		declare	139
person	138		Israel	137
blessing	138		salvation	137
Israel	137		moment	137
found	137		bishop	137
Let	137		invitation	135
prepare	137		among	135
something	136		move	135
few	136		6	135
later	136		early	135
began	135		visit	134
heaven	135		death	134
6	135		however	132
trust	135		write	132
study	134		eye	132
Restoration	134		sometimes	131
principles	133		happen	131
salvation	132		daughter	131
testimony	132		cause	131
comes	131		consider	130
following	131		counsel	130
look	131		doing	129
repentance	131		presidency	129
think	131		simple	128
Covenants	131		5	126
face	131		bear	126
best	130		put	126
death	130		fill	126
end	129		story	126
hand	129		different	126
Doctrine	129		don	125
efforts	128		authority	125
long	127		foundation	125
5	126		accept	124
Because	126		show	122
gave	126		comfort	122
loves	125		himself	122
doing	125		10	121
woman	125		forth	121
get	125		endure	119
different	125		lose	119
needed	124		glory	119
challenges	124		wife	119
simple	123		high	118
among	123		circumstance	118
All	123		7	118
invitation	122		kingdom	117
soul	122		trial	116
10	121		responsibility	115
So	121		seem	115
message	121		send	115
understanding	121		around	115
forth	121		means	114
questions	119		teaching	113
missionary	119		able	113
wife	119		strive	113
please	118		save	113
why	118		though	113
ways	118		difficult	113
7	118		8	112
knows	117		action	112
Those	117		three	112
experiences	116		angel	112
thought	116		behold	111
yet	116		manifest	111
glory	116		describe	110
general	115		everything	110
question	115		9	109
truths	115		pain	109
around	115		key	109
loved	115		kind	109
beloved	114		exercise	109
influence	114		enter	108
put	114		whom	108
lead	114		baptize	108
means	114		attend	108
Now	114		including	107
homes	114		gather	107
temples	114		ward	107
able	113		11	106
bear	113		stay	106
member	113		create	106
act	113		John	105
Prophet	113		water	105
teachings	112		wonder	105
8	112		direction	104
difficult	112		serving	104
answer	111		someone	104
child	111		course	104
Apostles	111		include	104
Young	110		less	104
prepared	110		fear	104
Some	110		toward	103
promises	110		care	103
9	109		Sunday	103
done	109		wend	102
don	108		leave	102
open	108		vision	102
here	107		sacrament	102
While	107		history	102
moment	107		break	102
heard	107		strong	101
including	107		wait	101
foundation	107		start	101
11	106		12	100
At	106		overcome	100
stand	106		support	100
After	106		mercy	100
whom	105		realize	99
John	105		daily	99
circumstances	105		stake	99
strive	104		draw	98
became	104		side	98
sustain	103		set	98
course	103		week	97
three	103		explain	97
grow	103		gathering	97
brother	103		body	97
went	102		accord	96
willing	102		join	96
focus	102		lift	96
manifest	102		future	96
Come	101		possible	96
suffering	101		resurrection	96
kingdom	101		matt	95
strengthen	100		alone	95
thee	100		until	95
12	100		13	95
individual	100		month	95
sacrament	100		society	95
direction	99		nor	94
Then	99		next	94
continue	99		throughout	94
serving	99		listen	94
toward	99		15	93
walk	99		once	93
coming	99		between	93
teaching	98		since	93
friend	98		express	93
counsel	98		reveal	93
going	98		deep	92
Sunday	98		No	92
history	98		nothing	92
baptized	97		step	92
learning	96		adversary	92
inspired	96		pandemic	92
increase	96		record	91
everything	96		worship	91
Second	96		land	91
possible	96		relationship	91
Presidency	96		king	91
matter	95		against	91
someone	95		rather	91
opportunity	95		14	91
13	95		16	91
Temple	95		thank	91
daily	95		knowledge	91
needs	94		event	91
alone	94		redeemer	90
future	94		darkness	90
build	94		twelve	90
saying	93		lesson	90
15	93		Moses	89
eyes	93		center	89
mercy	93		themselves	89
provide	93		state	89
nor	92		Paul	88
hands	92		worthy	88
next	92		direct	88
greater	92		struggle	88
No	92		choice	88
having	92		servant	88
ministering	92		healing	88
filled	92		arm	88
between	91		recognize	87
old	91		reason	87
until	91		tree	87
14	91		journey	87
16	91		perhaps	87
Redeemer	90		reach	87
story	90		remind	87
darkness	90		spiritually	87
use	90		full	87
gathering	90		whether	86
authority	90		enough	86
greatest	90		powerful	86
knowledge	90		mortality	86
Moses	89		relief	86
themselves	89		beautiful	86
Sister	89		fall	85
against	89		honor	85
kind	89		A.	85
Paul	88		within	85
according	88		forgive	85
invited	88		happy	84
sin	88		decision	84
heal	88		fast	84
pandemic	88		grateful	84
Brothers	87		fulfill	84
worthy	87		righteous	84
bishop	87		past	84
spiritually	87		close	84
set	87		therefore	83
healing	87		point	83
souls	86		left	83
Even	86		clear	83
Their	86		ability	83
comfort	86		beginning	82
second	86		righteousness	82
declared	86		20	82
begin	86		area	82
though	86		sure	82
guide	85		rejoice	81
brought	85		stop	81
enough	85		age	81
A.	85		grace	81
effort	85		talk	81
powerful	85		die	81
mortality	85		under	80
adversary	85		atone	80
law	85		watch	80
once	84		hard	80
righteous	84		peter	80
Twelve	84		forever	80
past	84		Satan	80
Do	84		morning	80
principle	84		concern	79
feeling	84		extend	79
full	84		result	79
beautiful	84		humble	79
grateful	83		precious	79
journey	83		off	79
ward	83		truly	78
heavenly	83		wonderful	78
throughout	83		physical	78
sometimes	82		simply	78
turn	82		essential	78
making	82		seal	78
hold	82		glorious	78
left	82		courage	77
within	82		17	77
20	82		building	76
trials	82		process	76
sons	81		school	76
prayed	81		add	76
Your	81		pure	76
changed	81		fruit	76
broken	81		along	75
righteousness	80		present	75
grace	80		participate	75
Peter	80		really	75
General	80		18	75
Satan	80		beyond	75
experienced	79		order	75
lived	79		generation	75
cause	79		whole	74
precious	79		progress	74
off	79		favor	74
forever	79		appear	74
keeping	79		oppose	74
truly	78		sorrow	73
teaches	78		available	73
wonderful	78		evil	73
daughter	78		encourage	73
simply	78		gratitude	73
overcome	78		perform	73
However	78		lamb	72
Many	78		God.	72
took	78		respond	72
glorious	78		expect	72
On	77		United	72
strong	77		four	71
vision	77		establish	71
water	77		baptism	71
works	77		qualify	71
president	77		spend	71
17	77		class	71
pass	77		accomplish	71
pain	77		far	70
morning	77		real	69
feelings	76		easy	69
worship	76		guidance	69
clear	76		soon	69
months	76		hour	69
looked	76		nation	69
sure	76		group	69
Through	76		unite	69
shared	75		husband	69
prayers	75		night	69
process	75		culture	69
really	75		apply	68
18	75		hath	68
Brother	75		doubt	68
ability	75		forget	68
fear	75		lie	68
beginning	74		rise	68
wants	74		imagine	68
thing	74		Moroni	68
physical	74		conversion	67
whole	74		thus	67
By	74		compassion	67
tell	74		commitment	67
essential	74		especially	67
New	74		temptation	67
stake	74		marriage	67
under	73		fulness	67
stay	73		branch	67
available	73		affliction	67
consider	73		companion	66
desires	73		spoke	66
gather	73		preparation	66
gratitude	73		partake	66
allow	73		born	66
Resurrection	73		yourself	66
May	73		natural	66
land	72		whose	66
lost	72		fully	66
hard	72		R.	66
leave	72		burden	66
God.	72		rest	65
courage	72		reflect	65
beyond	72		decide	65
helped	72		enjoy	65
exercise	72		capacity	65
United	72		prevail	65
gives	72		States	65
endure	71		command	64
nothing	71		role	64
