WORD	WORD COUNT		LEMMA	LEMMA COUNT
de	22030		el	35022
y	14451		de	22232
que	13979		y	14848
la	11863		que	14009
a	10925		a	11342
el	9708		en	10734
en	9680		él	10694
los	6334		uno	6916
del	4582		ser	6725
las	4063		su	6104
para	3825		del	4600
se	3653		para	3990
con	3451		nuestro	3949
un	3144		con	3645
por	3097		haber	3510
una	2702		por	3474
su	2695		estar	3366
es	2682		poder	2999
no	2496		no	2942
lo	2388		al	2785
al	2343		todo	2462
Dios	2205		nos	2224
nos	2126		dios	2208
como	1888		como	2107
más	1771		ese	1879
Jesucristo	1698		tener	1857
Su	1594		más	1819
Señor	1565		mi	1778
Él	1515		hacer	1745
El	1431		jesucristo	1698
nuestro	1408		yo	1666
vida	1380		señor	1588
sus	1247		vida	1474
mi	1198		cuando	1334
ser	1173		iglesia	1231
nuestra	1164		hijo	1193
o	1164		o	1178
Iglesia	1160		padre	1139
En	1054		este	1065
Salvador	1040		salvador	1048
me	940		mucho	1045
La	930		otro	1005
ha	916		día	1003
cuando	885		decir	971
fe	884		si	957
nosotros	845		santo	926
todos	814		nosotros	908
sobre	804		fe	897
todo	761		ir	885
son	757		persona	854
pero	737		pero	831
esta	736		sobre	809
Padre	731		convenio	795
nuestros	728		dar	785
Cristo	693		son	779
mundo	682		templo	778
ustedes	676		usted	773
cada	646		evangelio	761
le	643		cada	740
si	638		deber	702
hijos	624		recibir	697
han	622		presidente	695
amor	617		ver	695
poder	616		mundo	694
personas	613		cristo	693
presidente	574		espíritu	688
Sus	568		año	672
templo	559		saber	668
corazón	556		familia	655
les	538		corazón	644
hacer	536		vez	643
convenios	529		sin	640
cosas	523		amor	617
uno	523		mismo	614
nombre	513		llegar	612
dijo	512		también	601
él	512		tiempo	596
años	512		cosa	589
familia	509		enseñar	577
tiempo	504		profeta	574
día	500		joven	573
también	500		hermano	571
este	482		nombre	549
ese	481		palabra	546
Espíritu	471		hombre	527
era	467		quien	524
puede	463		celestial	523
había	461		seguir	520
Evangelio	454		manera	514
manera	450		alguno	501
Cuando	449		hermanar	498
No	446		miembro	486
vez	443		bendición	484
Al	442		porque	483
Los	441		ayudar	477
yo	440		aquel	469
podemos	436		sentir	469
Celestial	431		último	464
está	428		solo	447
ni	426		verdad	441
esa	424		ni	435
nuestras	420		aprender	426
todas	419		espiritual	423
A	417		gran	418
fue	416		josé	416
José	416		gozo	407
ellos	406		alma	407
gozo	399		obra	406
Nelson	398		vivir	405
Y	397		tanto	404
pueden	393		así	403
gran	391		durante	402
porque	390		nelson	398
miembros	388		después	397
sin	387		siempre	397
Por	377		sacerdocio	394
siempre	373		libro	385
solo	364		mujer	383
profeta	361		lugar	382
e	359		e	374
palabras	357		bueno	368
tanto	354		bendecir	358
obra	347		testificar	352
bendiciones	338		hablar	351
hermanas	334		eterno	350
sacerdocio	331		ahora	347
tierra	329		momento	345
Jesús	328		medio	340
verdad	326		bien	339
Si	319		tierra	338
están	319		venir	338
cómo	318		sí	333
bien	315		jesús	328
lugar	315		casa	327
jóvenes	314		cómo	323
medio	313		tal	322
así	312		querer	321
sido	311		conocer	320
Santo	309		servir	320
evangelio	307		poco	319
mí	307		encontrar	317
espiritual	305		necesitar	316
mis	305		hasta	316
hasta	304		mormón	316
Mormón	304		amar	315
mismo	302		plan	314
sea	300		entre	314
luz	297		parte	314
he	297		llevar	313
otras	294		sea	312
hermanos	293		sagrado	311
fin	293		recordar	311
estaba	292		hogar	311
qué	291		mí	309
entre	291		principio	306
hay	290		luz	306
quienes	287		qué	304
hacia	286		invitar	303
durante	286		hecho	302
días	284		desde	300
después	284		experiencia	300
Libro	284		oración	298
toda	282		tu	296
otros	281		fin	296
Escrituras	276		doctrina	292
dos	275		hacia	290
sino	274		comenzar	289
hombres	273		mientras	289
ver	273		dos	288
casa	271		escritura	287
plan	267		incluso	287
parte	267		ejemplo	281
recibir	263		personal	279
enseñó	262		mandamiento	276
tiene	262		querido	275
sí	262		mayor	274
Smith	260		sino	274
tener	259		entonces	268
tan	259		mediante	268
momento	258		primero	268
hecho	256		cambiar	267
paz	255		escuchar	265
demás	254		tan	264
Sin	253		ordenanza	263
Las	252		paz	263
Amén	251		aún	262
muchos	249		nuevo	261
incluso	248		propio	261
pueblo	246		preguntar	260
servicio	246		importante	260
ella	246		smith	260
ahora	245		pueblo	259
llegar	244		orar	257
Hijo	243		hoy	257
M.	242		servicio	257
desde	239		forma	256
persona	239		sentar	256
muy	239		ya	255
hogar	236		cual	254
debemos	235		demás	254
embargo	235		amén	253
hombre	235		testimonio	251
algo	234		tomar	249
tal	232		amigo	248
mediante	232		antes	246
ordenanzas	230		gracia	244
Se	229		algo	243
mucho	228		m.	242
Russell	227		compartir	241
mayor	227		niño	241
ejemplo	227		mano	240
Santos	226		unir	240
ayuda	226		guardar	239
mandamientos	225		primera	236
Últimos	224		esperanza	235
testimonio	224		embargo	235
muchas	223		pecado	233
poco	223		volver	232
mujeres	223		ayuda	231
estar	222		tú	231
mejor	221		continuar	231
forma	220		esperar	231
hace	220		revelación	229
Como	219		russell	227
ya	218		general	225
aquí	218		nunca	225
Días	217		buscar	225
somos	217		grande	225
antes	217		dejar	225
tu	217		restaurar	225
aquellos	216		pregunta	223
padres	214		medida	223
Es	213		aquí	223
oración	213		mejor	222
seguir	212		pensar	222
esperanza	211		permitir	222
quien	211		expiación	221
medida	211		deseo	220
donde	210		hemo	220
senda	209		terrenal	218
os	208		camino	217
hoy	208		estado	216
expiación	208		misionero	214
esos	207		conferencia	213
otro	207		esfuerzo	213
ayudar	206		donde	213
vivir	205		junto	212
De	202		pedir	211
saber	201		voz	210
veces	200		senda	210
revelación	200		os	208
1	200		desear	207
mientras	199		verdadero	207
cual	199		pequeño	205
personal	199		discípulo	203
estas	197		poner	202
unos	196		promesa	202
Nefi	196		cielo	201
Con	194		1	200
mente	190		mente	199
eso	188		apóstol	197
camino	188		líder	197
2	187		historia	196
nunca	187		respuesta	196
hemos	187		nefi	196
terrenal	186		fiel	194
tenemos	184		propósito	193
felicidad	184		madre	190
esto	181		segundo	189
esas	181		leer	188
hizo	181		2	187
estos	181		luego	186
nuevo	179		cuanto	186
hijo	179		felicidad	185
padre	178		confiar	185
importante	177		aunque	184
élder	177		cualquiera	181
alma	177		élder	181
voz	176		crear	180
experiencia	176		acercar	177
amigos	176		creer	176
palabra	176		modo	176
joven	176		declarar	176
historia	175		preparar	176
otra	175		difícil	175
sean	175		aumentar	174
Me	175		familiar	173
hermano	174		hallar	173
eterna	173		3	173
modo	173		mensaje	173
tenía	173		restauración	173
3	173		¿qué	171
discípulos	172		prueba	171
santos	172		nueva	169
queridos	171		prometer	168
tienen	171		cambio	165
mismos	169		verse	164
conferencia	168		participar	163
Alma	168		parecer	163
te	166		sacrificio	162
Para	165		perfecto	162
aprender	163		posible	162
Una	163		oportunidad	161
principios	162		ama	160
fueron	161		sanar	159
entonces	160		significar	159
estamos	160		pasar	158
madre	159		considerar	157
pecados	158		ante	157
profetas	157		responder	156
cuanto	155		requerir	155
doctrina	154		cumplir	155
Testifico	154		ley	155
habían	153		ninguno	152
ama	153		enseñanza	151
líderes	153		llamar	151
misioneros	153		abrir	150
estén	152		aceptar	150
ante	152		misión	150
propósito	152		adelantar	150
servir	150		contra	149
año	150		arrepentimiento	149
deseo	148		brindar	149
Israel	148		procurar	148
contra	148		israel	148
arrepentimiento	148		vivar	148
muerte	148		muerte	148
espíritu	148		amado	147
4	147		4	147
