WORD,WORD COUNT,,LEMMA,LEMMA COUNT
на,4495,,на,4531
да,4353,,да,4420
и,4163,,и,4322
в,2118,,съм,3550
се,2009,,в,2362
за,1819,,се,2012
от,1644,,за,1922
е,1621,,от,1677
че,1097,,който,1458
с,961,,ние,1117
си,961,,че,1101
ни,855,,с,1004
не,769,,не,874
ще,694,,това,822
това,670,,ща,778
Исус,669,,мога,773
Христос,668,,исус,669
които,650,,Христос,668
са,558,,той,662
като,534,,вие,643
Той,500,,като,614
към,454,,то,587
по,405,,те,587
ви,401,,са,558
Бог,393,,бъда,481
Господ,351,,живот,476
или,333,,имам,474
може,310,,аз,463
всички,300,,към,461
ми,296,,по,455
когато,286,,когато,446
което,286,,бог,424
нас,262,,всички,360
тези,255,,друг,358
живота,251,,Господ,351
който,245,,църква,341
В,244,,или,340
един,229,,но,332
сме,228,,вяра,325
Църквата,223,,ми,305
а,218,,теза,291
ние,211,,време,290
време,211,,един,287
вяра,209,,ден,263
много,207,,нас,262
но,207,,а,257
чрез,206,,бия,254
този,202,,този,244
която,198,,нашия,233
го,195,,нещо,231
бъде,194,,много,230
до,193,,чрез,227
живот,190,,тази,224
тази,187,,спасител,224
им,181,,сила,222
те,177,,него,220
има,172,,след,211
трябва,171,,хора,211
във,169,,евангелие,203
му,169,,трябва,201
така,167,,любов,200
със,165,,докато,197
той,162,,до,196
Когато,160,,както,195
всеки,159,,ако,195
както,159,,през,192
Него,159,,тя,187
И,159,,обичам,185
съм,158,,как,184
Спасителя,155,,своя,183
Евангелието,152,,така,183
Това,152,,във,183
как,150,,президент,180
можем,150,,уча,180
нашия,149,,всеки,178
любов,148,,със,177
Отец,144,,семейство,175
през,143,,моля,173
вас,139,,наши,171
върху,138,,име,171
дни,137,,казвам,169
повече,136,,брат,165
нашите,135,,година,164
ги,135,,давам,162
ли,134,,при,157
при,132,,знам,154
след,132,,път,154
тях,132,,помагам,153
докато,132,,дете,151
казва,126,,кажа,149
хора,126,,свети,146
Но,125,,цял,145
също,125,,член,145
беше,124,,отец,144
години,121,,няма,144
няма,120,,също,143
дори,119,,начин,142
сила,118,,защото,142
неща,117,,първи,141
Нелсън,117,,какво,140
могат,117,,храм,140
Неговата,115,,тях,140
президент,115,,върху,139
сте,114,,мно́го,138
Му,114,,последен,135
само,114,,ли,134
света,112,,дори,133
всичко,111,,негова,131
Аз,110,,сестра,130
Неговото,110,,някой,129
аз,109,,само,127
защото,109,,духовен,125
ден,109,,една,125
още,108,,преди,123
бъдат,106,,всичко,123
Не,105,,живея,121
ако,105,,негово,120
вярата,105,,важен,120
За,103,,разбирам,119
учи,102,,дух,118
бъдем,101,,голям,117
една,101,,нелсън,117
храма,100,,вечен,117
ме,100,,сърце,113
последните,100,,въпрос,113
другите,99,,радост,112
все,99,,още,112
начин,98,,свои,111
други,98,,свидетелствам,109
Спасителят,97,,правя,109
завети,96,,дойда,109
какво,95,,получа,109
