WORD	WORD COUNT		LEMMA	LEMMA COUNT
the	5907		the	6483
and	3916		and	4079
of	3755		of	3772
to	3497		be	3727
in	1967		to	3551
that	1617		we	2281
a	1562		in	2234
I	1402		that	1914
we	1204		a	1836
is	1165		I	1402
our	1135		he	1369
for	935		have	1214
you	817		our	1212
with	762		for	1028
Christ	719		his	989
us	716		you	923
be	693		as	881
as	686		this	822
are	684		with	812
Jesus	659		they	735
not	608		christ	719
He	607		it	694
have	604		Jesus	659
His	602		will	654
God	602		not	616
will	592		god	602
was	592		my	575
The	576		s	562
s	562		all	504
this	503		do	500
it	490		can	494
can	485		love	470
all	474		on	462
my	472		lord	445
Lord	444		your	418
on	428		who	417
he	416		by	396
who	410		from	395
your	397		or	395
or	388		their	383
by	387		when	369
his	387		but	367
from	382		church	349
We	361		savior	319
their	359		know	309
they	347		faith	291
love	334		what	288
Savior	319		me	288
had	298		one	286
Church	291		time	279
me	278		other	272
faith	277		life	269
do	273		at	264
In	267		live	253
life	266		say	252
them	263		come	252
has	260		father	248
were	248		teach	241
but	247		more	234
when	233		child	230
more	231		so	226
at	229		gospel	223
time	227		would	221
one	216		make	216
would	216		if	213
what	212		family	211
gospel	209		see	209
It	204		how	206
so	201		help	204
an	200		thing	197
As	195		there	196
know	194		may	195
Him	191		covenant	195
children	190		temple	194
Father	190		good	192
those	186		president	192
been	185		world	188
world	181		each	185
her	178		through	184
family	177		receive	181
things	173		great	178
President	170		her	178
upon	170		become	176
about	169		way	173
each	168		upon	173
may	168		many	172
which	167		about	172
through	166		even	172
And	163		power	172
help	161		day	170
said	159		which	170
people	159		need	169
how	159		name	164
power	159		year	162
unto	158		heart	161
lives	156		give	161
him	155		because	160
even	154		people	160
these	153		unto	158
other	153		brother	157
many	149		shall	156
name	148		work	154
there	147		prophet	153
come	147		man	151
shall	143		member	146
temple	142		first	143
way	138		young	142
When	136		she	142
into	133		learn	140
if	133		take	139
taught	131		experience	139
This	130		word	136
great	128		into	133
no	124		also	128
because	124		holy	127
also	123		heavenly	127
Nelson	121		then	127
years	121		home	125
than	121		blessing	125
could	120		sister	124
But	120		no	124
They	117		now	124
see	117		could	122
did	114		some	121
receive	114		Nelson	121
day	114		than	121
work	112		let	121
should	112		only	118
young	112		just	118
others	111		like	116
members	109		after	114
become	109		should	114
spiritual	108		light	112
need	107		call	111
up	104		son	109
My	103		want	109
own	103		spiritual	109
home	103		feel	106
only	103		own	104
Heavenly	102		up	104
light	102		change	103
make	102		every	103
feel	101		saint	102
like	99		keep	101
just	98		go	100
now	97		promise	99
every	97		seek	99
t	96		principle	99
first	96		old	98
she	96		t	98
then	95		pray	97
out	94		peace	97
For	93		eternal	97
am	93		ask	97
words	91		follow	97
asked	91		never	96
good	91		understand	95
never	90		over	94
over	89		out	94
prophet	89		spirit	94
eternal	89		truth	94
covenants	89		hope	93
Saints	88		invite	93
peace	87		look	93
personal	86		during	92
man	86		testify	92
before	85		hear	92
joy	85		any	92
heart	84		serve	92
hope	83		before	91
That	83		aske	91
some	83		question	90
Holy	81		place	89
same	81		joy	89
Joseph	81		most	88
most	81		personal	87
testify	80		bless	86
If	80		begin	86
made	80		today	85
any	79		new	84
ye	79		scripture	84
after	77		ye	83
Our	77		remember	82
live	77		another	81
Mormon	77		same	81
blessings	77		Joseph	81
sisters	76		bring	81
What	76		speak	80
experience	76		while	80
M.	76		desire	79
where	76		share	79
hearts	75		Mormon	78
very	74		where	78
amen	74		again	77
earth	74		being	77
serve	74		sin	77
covenant	74		ordinance	77
another	74		miracle	77
Nephi	74		answer	76
You	74		commandment	76
again	73		M.	76
find	71		sacre	76
learn	71		earth	75
sacred	71		priesthood	75
1	70		very	74
keep	70		amen	74
today	70		suffer	74
go	70		find	74
during	69		Nephi	74
always	69		divine	72
must	68		woman	72
give	68		friend	71
pray	67		continue	71
ordinances	67		parent	71
A	67		walk	71
felt	67		doctrine	71
scriptures	67		1	70
little	66		believe	70
being	66		choose	70
truth	66		always	69
might	66		must	68
Russell	66		hand	68
let	66		true	68
Ghost	65		example	67
follow	65		little	67
priesthood	65		might	67
new	64		felt	67
parents	64		small	66
path	64		ghost	66
place	63		missionary	66
Smith	63		such	66
ask	63		return	66
true	63		tell	66
take	62		Russell	66
away	62		late	66
seek	62		path	65
Latter-day	62		witness	65
men	61		lead	65
such	61		book	64
example	60		trust	64
small	60		two	64
its	59		smith	63
2	58		dear	62
part	58		its	62
divine	58		part	62
Spirit	58		prepare	62
two	58		away	62
ourselves	58		focus	62
dear	57		Latter-day	62
conference	57		bishop	62
Atonement	57		conference	61
important	57		without	61
principles	57		sacrifice	61
Son	56		much	61
remember	56		challenge	60
much	56		restore	60
service	56		feeling	60
better	55		yet	60
came	55		long	60
commandments	55		apostle	60
few	55		prayer	60
received	55		second	59
father	54		soul	59
without	54		face	59
To	54		2	58
teach	54		important	58
ago	54		plan	58
believe	54		why	58
living	54		mind	58
want	54		living	58
days	54		ourselves	58
saw	54		service	58
hear	53		general	57
Book	53		often	57
desire	53		increase	57
Elder	53		atonement	57
both	53		act	57
often	52		few	57
plan	52		both	57
One	52		disciple	57
church	52		provide	56
faithful	52		heal	56
restored	52		meet	56
brothers	51		revelation	56
times	51		stand	55
later	51		use	55
began	51		faithful	55
forward	50		last	54
too	50		ago	54
With	50		get	54
called	50		individual	54
learned	49		heaven	53
sacrifice	49		message	52
back	49		back	52
witness	49		perfect	52
mind	49		right	52
There	49		offer	51
missionaries	48		forward	51
perfect	48		together	51
return	48		too	51
loved	48		write	50
given	48		allow	50
How	47		well	50
blessing	47		mother	49
while	47		opportunity	49
First	47		death	49
house	47		story	49
message	46		given	49
gave	46		house	49
say	46		among	48
She	46		open	48
death	46		please	48
together	46		show	47
face	46		effort	47
change	46		voice	47
hand	46		minister	47
disciples	46		read	47
revelation	46		pass	47
invite	45		difficult	46
difficult	45		care	46
trust	45		strengthen	46
blessed	45		try	46
friends	44		following	46
question	44		gift	45
thy	44		ward	45
Let	44		circumstance	44
down	44		pandemic	44
answer	44		start	44
mother	43		repentance	44
among	43		toward	44
questions	43		visit	44
4	43		thy	44
sins	43		inspire	44
promise	43		build	44
right	43		counsel	44
still	43		down	44
6	43		still	44
last	42		turn	44
circumstances	42		quorum	44
understand	42		study	43
pandemic	42		thought	43
toward	42		4	43
choose	42		ever	43
prayer	42		6	43
well	42		mission	43
John	42		moment	43
done	41		mean	42
ever	41		think	42
holy	41		repent	42
why	41		resurrection	42
loving	41		trial	42
willing	40		foundation	42
suffering	40		kind	42
salvation	40		person	42
does	40		youth	42
5	40		here	42
yet	40		John	42
read	40		pain	42
word	40		strength	41
share	40		leader	41
principle	40		salvation	41
3	40		grow	41
soul	40		end	41
told	40		beloved	40
focus	40		glory	40
strength	39		5	40
voice	39		mortal	40
speak	39		purpose	40
glory	39		3	40
long	39		declare	40
miracle	39		eye	39
youth	39		coming	39
following	39		cause	39
Some	38		responsibility	39
loves	38		himself	39
get	38		something	38
act	38		don	38
something	37		simple	38
After	37		choice	38
challenges	37		exercise	38
walk	37		course	38
7	37		wonder	37
10	37		thou	37
simple	37		consider	37
kind	37		7	37
wife	37		10	37
8	37		seem	37
needed	37		wife	37
bishop	37		less	37
course	37		8	37
Because	36		serving	37
think	36		guide	36
mortal	36		accept	36
These	36		doing	36
doctrine	36		happen	36
person	36		move	36
woman	36		send	36
Apostles	36		behold	35
look	35		healing	35
happiness	35		happiness	35
feeling	35		realize	35
repentance	35		12	35
repent	35		United	35
doing	35		until	35
don	35		prevail	35
purpose	35		struggle	35
foundation	35		accord	35
12	35		law	35
understanding	35		able	34
United	35		9	34
At	35		States	34
moment	35		found	34
end	35		whom	34
knows	35		darkness	34
bless	35		testimony	33
serving	35		invitation	33
bring	35		fill	33
general	34		leave	33
able	34		stay	33
efforts	34		bear	33
healing	34		Easter	33
ward	34		high	33
heal	34		influence	33
counsel	34		put	33
heard	34		water	33
teaching	34		everything	33
9	34		manifest	33
States	34		body	33
until	34		fear	32
story	34		endure	32
On	34		recognize	32
wants	34		comfort	32
darkness	34		set	32
While	33		early	32
prophets	33		means	32
Resurrection	33		rather	32
Doctrine	33		attend	32
Easter	33		A.	32
son	33		journey	32
sin	33		area	32
child	33		sustain	32
mission	33		Paul	32
families	33		constitution	32
heaven	33		direction	31
prevail	33		compassion	31
became	33		14	31
member	33		strive	31
whom	33		lose	31
brother	33		courage	31
eyes	32		explain	31
thought	32		order	31
invitation	32		hold	31
women	32		three	31
means	32		gather	30
Then	32		thank	30
found	32		lesson	30
A.	32		though	30
use	32		result	30
Paul	32		stop	30
thee	32		wend	30
according	32		No	29
Second	31		watch	29
answers	31		forever	29
gift	31		kingdom	29
14	31		mortality	29
call	31		reveal	29
Brother	31		restoration	29
provide	31		enter	29
here	31		break	29
comes	31		redeemer	29
promised	31		enough	29
Covenants	31		beautiful	29
year	30		overcome	29
ways	30		however	29
best	30		sacrament	29
beloved	30		forgive	29
compassion	30		nor	29
strive	30		remind	29
bear	30		require	29
care	30		doubt	28
put	30		sure	28
individual	30		pure	28
journey	30		worthy	28
experiences	30		morning	28
inspired	30		forth	28
went	30		lift	28
three	30		daily	28
manifest	30		wait	28
All	30		create	28
No	29		16	28
direction	29		someone	28
experienced	29		daughter	28
forever	29		around	28
mortality	29		third	28
thou	29		include	28
courage	29		welcome	27
opportunity	29		worship	27
Redeemer	29		join	27
helped	29		mark	27
order	29		instead	27
sacrament	29		11	27
increase	29		13	27
nor	29		different	27
Prophet	29		once	27
pain	29		extend	27
stand	28		arm	27
worthy	28		15	27
prepare	28		strong	27
forth	28		themselves	27
daily	28		within	27
trials	28		stake	27
enough	28		possible	27
responsibility	28		really	27
16	28		authority	27
grow	28		peter	27
miracles	28		past	26
beautiful	28		four	26
around	28		history	26
everything	28		ministry	26
spirit	28		20	26
Those	28		alone	26
ministering	28		month	26
took	28		save	26
knew	27		alma	26
study	27		17	26
morning	27		rise	26
shared	27		since	26
though	27		Sunday	26
11	27		sometimes	26
13	27		point	26
testimony	27		including	26
open	27		express	26
Now	27		presidency	26
15	27		hath	26
themselves	27		direct	25
May	27		step	25
Sister	27		Israel	25
within	27		center	25
possible	27		draw	25
really	27		action	25
please	27		yourself	25
Peter	27		adult	25
body	27		reason	25
declared	27		large	25
kingdom	27		clear	25
Constitution	27		perform	25
past	26		seal	25
pure	26		unfairness	25
filled	26		mountain	25
different	26		lie	24
ministry	26		age	24
once	26		reach	24
20	26		forget	24
build	26		future	24
changed	26		gratitude	24
set	26		view	24
alone	26		glorious	24
influence	26		side	24
lead	26		next	24
allow	26		fall	24
friend	26		teacher	24
Alma	26		angel	24
17	26		event	24
someone	26		week	24
Sunday	26		night	24
saying	26		road	24
less	26		grace	24
m	26		righteousness	24
choices	26		decision	24
continued	26		die	24
including	26		support	24
hath	26		dead	24
sure	25		gathering	23
Temple	25		left	23
old	25		teaching	23
Israel	25		deep	23
history	25		knowledge	23
truths	25		honor	23
heavenly	25		simply	23
comfort	25		between	23
coming	25		generation	23
strengthen	25		truly	23
Brothers	25		expect	23
gives	25		sense	23
yourself	25		difference	23
So	25		relationship	23
having	25		righteous	23
calling	25		oppose	23
second	25		neither	23
pass	25		human	23
unfairness	25		mercy	23
Do	25		add	23
offer	24		respond	23
worship	24		baptize	23
four	24		throughout	22
future	24		servant	22
gratitude	24		hour	22
glorious	24		yes	22
accept	24		precious	22
temples	24		land	22
stay	24		near	22
broken	24		matt	22
Their	24		essential	22
exercise	24		describe	22
explained	24		husband	22
feelings	24		wonderful	22
thing	24		presence	22
looked	24		contention	22
promises	24		available	22
needs	24		wind	22
clear	24		observe	22
continue	24		state	22
water	24		nothing	22
sustain	24		forgiveness	22
righteousness	24		grateful	22
dead	24		concern	22
gather	23		perhaps	22
During	23		judge	22
leaders	23		beginning	22
left	23		record	21
age	23		listen	21
Restoration	23		war	21
knowledge	23		burden	21
tell	23		appear	21
high	23		exaltation	21
next	23		off	21
simply	23		remain	21
Many	23		fully	21
months	23		approach	21
truly	23		primary	21
grace	23		powerful	21
righteous	23		born	21
General	23		yea	21
Presidency	23		eternity	21
human	23		nation	21
works	23		key	21
welcome	22		twelve	21
show	22		thousand	21
Behold	22		physical	21
homes	22		sorrow	21
gathering	22		fast	21
fear	22		despite	21
teachings	22		happy	21
guide	22		process	21
precious	22		under	20
matter	22		personally	20
rather	22		assure	20
between	22		Christ.	20
knowing	22		potential	20
wonderful	22		infinite	20
presence	22		line	20
invited	22		18	20
daughter	22		kindness	20
available	22		boy	20
making	22		helping	20
brought	22		ability	20
individuals	22		agency	20
grateful	22		press	20
mercy	22		recently	20
created	22		beyond	20
healed	22		whole	20
sent	22		David	20
baptized	22		almost	20
exaltation	21		across	20
off	21		affliction	20
leave	21		inspiration	20
fully	21		atone	20
visit	21		ponder	19
teaches	21		full	19
recognize	21		fulfill	19
powerful	21		school	19
happened	21		close	19
begin	21		dark	19
greatest	21		effect	19
essential	21		else	19
commandment	21		food	19
looking	21		conclude	19
himself	21		neighbour	19
husband	21		already	19
Your	21		poor	19
takes	21		unite	19
contention	21		capacity	19
try	21		imagine	19
endure	21		seventy	19
known	21		Moroni	19
since	21		cross	19
personally	20		test	19
Christ.	20		whether	19
potential	20		Mary	19
infinite	20		rejoice	18
opportunities	20		assist	18
greater	20		king	18
18	20		apply	18
kindness	20		above	18
draw	20		sit	18
born	20		therefore	18
cause	20		group	18
lesson	20		foot	18
strong	20		real	18
recently	20		myself	18
