WORD	WORD COUNT		LEMMA	LEMMA COUNT
de	6267		el	9994
que	4063		de	6316
y	4034		y	4156
la	3502		que	4076
a	3242		a	3363
en	2740		él	3125
el	2670		en	3079
los	1824		uno	2049
del	1266		ser	1909
para	1087		su	1751
las	1063		del	1270
se	1044		nuestro	1147
por	930		para	1134
con	929		por	1028
un	909		con	1000
una	806		haber	987
es	782		estar	929
no	744		no	876
su	741		poder	873
al	689		al	821
lo	679		todo	678
Dios	610		nos	646
nos	601		dios	610
Jesucristo	518		mi	560
como	503		como	555
Su	501		tener	548
más	498		yo	521
Él	497		jesucristo	518
vida	452		más	516
El	436		ese	497
Señor	434		vida	483
nuestro	416		hacer	469
mi	378		señor	441
sus	359		cuando	370
nuestra	351		iglesia	354
En	339		o	331
o	327		este	328
Iglesia	314		padre	327
Salvador	312		hijo	323
ser	309		otro	321
fe	291		salvador	313
me	284		fe	298
La	274		mucho	288
ha	246		decir	281
todos	240		día	277
cuando	238		si	273
nosotros	238		ir	267
Cristo	235		dar	250
amor	225		nosotros	250
sobre	219		santo	248
son	215		cristo	235
pero	210		persona	233
mundo	199		pero	229
ustedes	199		amor	225
todo	198		usted	224
nuestros	195		evangelio	221
cada	194		sobre	220
le	193		son	217
Padre	189		ver	214
hijos	185		cada	213
esta	183		deber	211
poder	175		recibir	206
si	174		convenio	201
personas	171		mundo	199
este	168		enseñar	198
cosas	165		vez	197
presidente	165		presidente	195
dijo	159		mismo	192
han	157		año	190
años	156		templo	190
uno	154		cosa	183
era	153		sin	181
nombre	152		familia	178
manera	151		llegar	176
vez	150		saber	174
Sus	150		espíritu	174
yo	149		corazón	173
Los	147		hermano	166
familia	146		manera	165
corazón	145		profeta	163
hacer	144		tiempo	162
les	142		nombre	162
Evangelio	142		seguir	159
día	141		joven	159
tiempo	140		también	153
él	140		sentir	146
templo	139		quien	145
también	136		palabra	144
puede	136		miembro	140
ese	133		porque	138
No	132		celestial	137
Cuando	132		último	136
Al	132		solo	135
Espíritu	130		durante	133
Jesús	130		gran	132
convenios	130		ayudar	132
había	128		aquel	131
gran	125		jesús	130
podemos	124		alguno	128
pueden	123		después	127
ni	122		verdad	127
Y	122		hermanar	124
fue	122		bendición	124
A	121		principio	124
esa	121		ni	123
nuestras	120		siempre	122
Nelson	118		nelson	118
sin	116		luz	118
luz	116		aprender	115
ellos	115		e	114
está	115		hombre	114
profeta	112		momento	112
siempre	111		tanto	111
solo	111		espiritual	111
miembros	110		ahora	109
Celestial	110		paz	108
porque	109		lugar	107
e	108		casa	107
sino	105		poco	106
paz	104		preguntar	106
todas	103		tierra	106
verdad	102		querer	105
tierra	101		sino	105
sea	100		así	105
Si	99		testificar	104
Por	98		tal	103
gozo	98		sea	103
palabras	98		gozo	100
tener	98		conocer	100
mí	97		amar	100
mis	96		medio	100
tanto	95		eterno	100
qué	95		sí	100
durante	94		comenzar	100
enseñó	92		qué	99
hay	91		obra	98
medio	91		mí	98
momento	91		alma	98
jóvenes	90		bien	98
casa	90		vivir	97
bien	90		incluso	94
servicio	90		tu	94
lugar	88		hecho	93
otras	88		servir	92
Escrituras	88		encontrar	92
incluso	87		servicio	92
fin	87		escritura	91
después	86		entre	90
mismo	86		llevar	90
entre	85		bueno	90
estaba	85		personal	89
hasta	85		necesitar	89
he	84		pregunta	88
así	84		hasta	88
obra	83		fin	88
están	83		experiencia	87
toda	83		invitar	86
ella	83		hablar	86
hacia	82		hacia	85
demás	82		primero	85
cómo	81		parte	84
ver	81		nunca	84
otros	81		gracia	83
bendiciones	80		desde	83
evangelio	79		recordar	83
Santo	79		querido	82
tal	79		propio	82
sí	79		cómo	82
recibir	79		dejar	82
ahora	78		demás	82
espiritual	78		volver	82
Las	78		bendecir	82
quienes	78		ordenanza	82
hermanas	77		pequeño	81
sido	77		venir	81
hecho	77		sagrado	80
José	77		mientras	79
tan	77		esperanza	79
días	77		pueblo	79
tiene	76		pedir	79
hermanos	75		tan	79
esperanza	75		cambiar	78
pueblo	75		mormón	78
otro	75		respuesta	77
unos	75		niño	77
llegar	74		mandamiento	77
muy	74		hoy	77
Amén	74		josé	77
padres	74		ya	76
dos	74		hogar	76
os	73		entonces	76
ordenanzas	73		pecado	76
estar	72		dos	76
tu	72		milagro	76
Nefi	72		permitir	75
aquí	71		sacerdocio	75
Con	71		ejemplo	74
parte	69		amén	74
poco	69		unir	74
desde	68		os	73
nunca	68		importante	73
principios	68		mayor	73
ya	67		antes	72
personal	66		aquí	72
ejemplo	66		escuchar	72
seguir	66		resurrección	72
Mormón	66		doctrina	72
Sin	65		nefi	72
mejor	65		sentar	71
hogar	65		tomar	71
algo	65		amigo	69
hoy	65		mediante	69
embargo	65		oración	69
sacerdocio	65		nuevo	68
Se	64		algo	68
padre	64		terrenal	67
muchas	64		forma	67
Russell	64		camino	67
M.	64		general	66
antes	63		primera	66
muchos	63		estado	66
mayor	63		desear	65
joven	63		mejor	65
hermano	63		libro	65
historia	62		embargo	65
otra	62		mano	65
hombres	62		historia	64
mismos	62		segundo	64
Smith	62		compartir	64
persona	62		deseo	64
mediante	62		russell	64
1	61		m.	64
ayuda	61		aún	64
saber	61		difícil	63
debemos	61		cual	63
Es	60		esperar	63
Hijo	60		continuar	63
Últimos	60		obispo	63
forma	59		ayuda	62
camino	59		misionero	62
Santos	59		mujer	62
Días	59		smith	62
expiación	58		discípulo	62
habían	58		1	61
donde	57		testimonio	61
esto	57		orar	61
Me	57		buscar	61
mandamientos	57		creer	61
alma	57		grande	60
élder	57		apóstol	60
quien	57		hemo	59
testimonio	56		pensar	59
mientras	56		expiación	59
mucho	56		restaurar	59
respuesta	56		aunque	59
queridos	55		cualquiera	59
2	55		ama	59
terrenal	55		tú	59
principio	55		élder	59
muerte	55		fiel	59
hizo	55		conferencia	58
esos	54		plan	58
experiencia	54		¿qué	58
hemos	53		sacrificio	58
somos	53		poner	58
Libro	53		prueba	58
santos	53		luego	58
estas	53		sanar	58
importante	53		donde	57
discípulos	52		guardar	57
senda	52		junto	56
ama	52		2	55
Como	52		mensaje	55
misioneros	51		muerte	55
estamos	51		revelación	55
eterna	51		cielo	53
Testifico	51		parecer	53
hace	51		medida	52
revelación	51		oportunidad	52
sacrificio	50		senda	52
mente	50		responder	52
