WORD COUNT,WORD,TRANSLITERATION,LEMMA,TRANSLATION
2194,да,da,да,
2147,на,na,на,
2060,и,i,и,
1026,се,se,се,
973,в,v,в,
888,от,ot,от,
866,за,za,за,
790,е,e,съм,
486,с,s,с,
465,че,che,че,
464,си,si,съм,
423,не,ne,не,
389,ни,ni,ние,
347,които,koito,който,
340,ще,shte,ща,
315,Исус,Isus,исус,
315,това,tova,това,
315,като,kato,като,
303,Христос,Hristos,Христос,
284,са,sa,са,
220,към,kam,към,
204,по,po,по,
192,Бог,Bog,бог,god
187,или,ili,или,or
176,Той,Toy,той,He
169,може,mozhe,мога,may
167,ви,vi,вие,s
166,всички,vsichki,всички,all
158,Господ,Gospod,Господ,Lord
157,което,koeto,който,wherein:
142,нас,nas,нас,us
136,тези,tezi,теза,the
133,когато,kogato,когато,where:
128,който,koyto,който,- &lt; 1.5 x 109/ l - &lt; 0.75 x 109/ l
128,ние,nie,ние,Д
125,В,V,в,В
121,ми,mi,ми,Mi.
120,сме,sme,съм,been
116,Спасителя,Spasitelya,спасител,Savior
111,Него,Nego,него,Him.
104,един,edin,един,one
100,много,mnogo,много,
100,но,no,но,
98,живота,zhivota,живот,
98,чрез,chrez,чрез,
97,при,pri,при,
97,живот,zhivot,живот,
96,която,koyato,който,
96,а,a,а,
95,го,go,то,
95,Църквата,Tsarkvata,църква,
94,има,ima,имам,
94,до,do,до,
92,този,tozi,този,
90,трябва,tryabva,трябва,
89,време,vreme,време,
89,му,mu,то,
88,Отец,Otets,отец,
87,тази,tazi,тази,
87,Това,Tova,това,
87,завети,zaveti,завети,
86,бъде,bade,бъда,
86,във,vav,във,
83,вяра,vyara,вяра,
83,Когато,Kogato,когато,
80,той,toy,той,
80,можем,mozhem,мога,
79,всеки,vseki,всеки,
76,сте,ste,съм,
75,повече,poveche,мно́го,
74,Но,No,но,
72,съм,sam,съм,
72,така,taka,така,
72,И,I,и,
71,казва,kazva,казвам,
68,как,kak,как,
68,вярата,vyarata,вяра,
67,ме,me,аз,
67,сила,sila,сила,
66,ли,li,ли,
65,също,sashto,също,
65,ако,ako,ако,
64,хора,hora,хора,
63,със,sas,със,
63,бъдат,badat,бъда,
63,както,kakto,както,
62,вас,vas,вие,
62,Неговото,Negovoto,негово,
62,начин,nachin,начин,
61,защото,zashtoto,защото,
61,учи,uchi,уча,
60,Евангелието,Evangelieto,евангелие,
59,им,im,те,
58,всичко,vsichko,всичко,
58,ги,gi,те,
58,след,sled,след,
58,неща,neshta,нещо,
56,през,prez,през,
56,нашия,nashiya,нашия,
55,нашите,nashite,наши,
55,дни,dni,ден,
55,Му,Mu,то,
55,те,te,те,
54,Не,Ne,не,
53,Неговите,Negovite,негови,
53,Ние,Nie,ние,
53,докато,dokato,докато,
53,върху,varhu,върху,
53,само,samo,само,
52,сестри,sestri,сестра,
52,аз,az,аз,
51,тях,tyah,тях,
50,какво,kakvo,какво,
50,винаги,vinagi,винаги,
49,Спасителят,Spasitelyat,спасителят,
49,Дух,Duh,дух,
49,президент,prezident,президент,
49,бъдем,badem,бъда,
47,Нелсън,Nelsan,нелсън,
47,Аз,Az,аз,
46,могат,mogat,мога,
45,хората,horata,хора,
45,нещо,neshto,нещо,
44,света,sveta,свети,
44,все,vse,все,
44,силата,silata,сила,
44,мисия,misiya,мисия,
44,вие,vie,вие,
44,дава,dava,давам,
44,според,spored,според,
43,имаме,imame,имам,
43,една,edna,една,
43,други,drugi,друг,
43,няма,nyama,няма,
43,любов,lyubov,любов,
42,своите,svoite,свои,
42,другите,drugite,друг,
42,нашата,nashata,наша,
42,години,godini,година,
41,беше,beshe,съм,
41,Неговата,Negovata,негова,
41,Да,Da,да,
41,без,bez,без,
40,още,oshte,още,
40,жени,zheni,жена,
40,Църква,Tsarkva,църква,
40,Ако,Ako,ако,
40,помага,pomaga,помагам,
40,едно,edno,едно,
39,Писанията,Pisaniyata,пи́ша,
39,Джозеф,Dzhozef,джозеф,
38,деца,detsa,дете,
38,свят,svyat,свят,
38,За,Za,за,
38,сърцето,sartseto,сърце,
38,дори,dori,дори,
38,М.,M.,м.,
38,името,imeto,име,
38,чеда,cheda,чеда,
37,Като,Kato,като,
37,човек,chovek,човек,
37,амин,amin,амин,
37,заедно,zaedno,заедно,
37,Ръсел,Rasel,ръсел,
36,мен,men,аз,
36,бил,bil,бия,
36,нашето,nasheto,наше,
36,напред,napred,напред,
36,пред,pred,пред,
35,ден,den,ден,
35,служба,sluzhba,служба,
35,Светия,Svetiya,светия,
35,част,chast,част,
35,него,nego,него,
35,Който,Koyto,който,
34,братя,bratya,брат,
34,последните,poslednite,последен,
33,Евангелие,Evangelie,евангелие,
33,тя,tya,тя,
33,име,ime,име,
33,своя,svoya,своя,
33,пътека,pateka,пътека,
33,свобода,svoboda,свобода,
33,ѝ,ѝ,ѝ,
32,толкова,tolkova,толкова,
32,били,bili,бия,
31,преди,predi,преди,
31,Докато,Dokato,докато,
31,семейство,semeystvo,семейство,
31,членове,chlenove,член,
