WORD COUNT	WORD	LEMMA
2763	the	the
1977	and	and
1817	of	of
1735	to	to
959	in	in
738	a	a
714	that	that
667	we	we
603	is	be
600	I	I
528	our	our
407	with	with
393	for	for
393	you	you
378	are	be
347	be	be
342	us	we
337	Christ	christ
332	s	s
320	not	not
315	God	god
312	Jesus	Jesus
309	as	as
296	His	his
282	will	will
280	have	have
268	was	be
258	all	all
245	can	can
242	on	on
236	who	who
226	The	the
225	his	his
218	Lord	lord
215	my	my
213	He	he
210	this	this
210	from	from
207	or	or
202	it	it
192	by	by
191	Savior	savior
188	your	your
188	he	he
184	We	we
152	me	me
149	do	do
146	has	have
140	Church	church
137	their	their
136	faith	faith
132	life	life
132	In	in
130	more	more
126	Him	he
124	love	love
123	those	that
120	they	they
117	but	but
117	It	it
116	about	about
112	when	when
107	one	one
105	Father	father
104	an	a
104	at	at
100	what	what
98	gospel	gospel
96	him	he
95	As	as
95	know	know
93	covenants	covenant
93	had	have
92	them	they
92	which	which
92	through	through
90	And	and
90	come	come
89	would	would
86	children	child
86	family	family
86	may	may
86	things	thing
85	time	time
85	been	be
85	were	be
83	her	her
82	t	t
81	these	this
81	so	so
80	unto	unto
78	power	power
76	help	help
74	world	world
71	each	each
71	how	how
71	become	become
71	But	but
69	name	name
69	no	no
69	way	way
68	many	many
67	This	this
67	said	say
66	spiritual	spiritual
66	shall	shall
65	young	young
65	President	president
64	there	there
63	if	if
63	Heavenly	heavenly
62	also	also
62	lives	live
62	see	see
62	When	when
60	people	people
60	change	change
59	good	good
59	eternal	eternal
57	My	my
57	make	make
57	like	like
56	upon	upon
56	taught	teach
55	need	need
55	than	than
55	others	other
54	You	you
54	plan	plan
53	because	because
53	she	she
53	Joseph	Joseph
52	day	day
52	into	into
52	serve	serve
52	path	path
51	men	man
51	only	only
51	mission	mission
51	heart	heart
51	other	other
51	up	up
50	Holy	holy
49	feel	feel
49	covenant	covenant
49	own	own
48	great	great
48	women	woman
47	sisters	sister
47	any	any
47	always	always
47	Nelson	Nelson
46	For	for
46	work	work
46	then	then
46	words	word
45	am	be
45	even	even
45	being	being
44	made	make
44	where	where
44	keep	keep
44	most	most
44	blessings	blessing
43	every	every
43	follow	follow
43	out	out
43	should	should
43	Our	our
42	go	go
42	man	man
42	give	give
42	A	a
42	temple	temple
41	did	do
41	doctrine	doctrine
40	That	that
40	some	some
40	must	must
39	missionary	missionary
39	receive	receive
39	before	before
38	sacred	sacre
38	service	service
38	blessed	bless
38	Russell	Russell
38	M.	M.
38	living	living
37	hearts	heart
37	If	if
37	times	time
37	learn	learn
37	prophet	prophet
37	live	live
37	home	home
36	now	now
36	Ghost	ghost
35	amen	amen
35	experience	experience
35	first	first
34	peace	peace
34	What	what
34	members	member
34	strength	strength
33	years	year
33	over	over
32	personal	personal
32	important	important
32	ye	ye
32	Saints	saint
32	joy	joy
32	ordinances	ordinance
32	divine	divine
32	commandments	commandment
32	Spirit	spirit
31	forward	forward
31	friends	friend
31	father	father
31	came	come
31	2	2
31	part	part
31	scriptures	scripture
31	much	much
31	First	first
31	want	want
30	1	1
30	They	they
30	example	example
30	ourselves	ourselves
30	might	might
29	brothers	brother
29	pray	pray
29	find	find
29	asked	aske
29	Latter-day	Latter-day
29	teach	teach
29	without	without
29	invitation	invitation
29	word	word
29	truth	truth
28	today	today
28	testify	testify
28	disciples	disciple
28	restored	restore
28	after	after
28	woman	woman
28	faithful	faithful
28	could	could
28	true	true
28	thou	thou
28	just	just
28	matter	matt
27	seek	seek
27	light	light
27	called	call
27	two	two
27	little	little
27	believe	believe
27	does	do
27	choose	choose
26	dear	dear
26	share	share
26	promised	promise
26	missionaries	missionary
26	ever	ever
26	something	something
26	3	3
26	youth	youth
26	new	new
26	kingdom	kingdom
26	read	read
26	say	say
26	Son	son
26	take	take
26	away	away
26	Mormon	Mormon
26	How	how
26	very	very
26	Atonement	atonement
25	back	back
25	speak	speak
25	received	receive
25	influence	influence
25	same	same
25	child	child
25	loving	love
25	freedom	freedom
25	repentance	repentance
25	Smith	smith
25	repent	repent
25	families	family
24	bless	bless
24	One	one
24	remember	remember
24	given	given
24	bring	bring
24	don	don
24	think	think
24	Book	book
23	conference	conference
23	4	4
23	let	let
23	place	place
23	during	during
23	while	while
23	serving	serving
23	right	right
23	invite	invite
23	well	well
23	together	together
23	end	end
23	both	both
23	glory	glory
23	different	different
23	too	too
22	challenges	challenge
22	trust	trust
22	Elder	old
22	testimony	testimony
22	forth	forth
22	often	often
22	its	its
22	act	act
22	There	there
22	thy	thy
22	Come	come
22	such	such
21	leaders	leader
21	never	never
21	experiences	experience
21	desire	desire
21	humble	humble
21	purpose	purpose
21	Those	that
21	mother	mother
21	keeping	keep
21	7	7
21	happiness	happiness
21	promise	promise
21	Benjamin	Benjamin
21	get	get
21	following	following
21	beloved	beloved
21	knew	know
21	fold	fold
20	Israel	Israel
20	prepare	prepare
20	teaching	teach
20	hands	hand
20	learned	learn
20	felt	felt
20	With	with
20	Young	young
20	told	tell
20	down	down
20	means	means
20	between	between
20	comes	come
20	study	study
20	prophets	prophet
20	No	No
20	nothing	nothing
20	please	please
20	look	look
20	understand	understand
20	return	return
20	She	she
20	Peter	peter
19	hope	hope
19	5	5
19	loved	love
19	yet	yet
19	To	to
19	son	son
19	exaltation	exaltation
19	doing	doing
19	among	among
19	witness	witness
19	few	few
19	Satan	Satan
18	general	general
18	earth	earth
